Pclass,Fare,Survived
3,7.25,0
1,71.2833,1
3,7.925,1
1,53.1,1
3,8.05,0
3,8.4583,0
1,51.8625,0
3,21.075,0
3,11.1333,1
2,30.0708,1
3,16.7,1
1,26.55,1
3,8.05,0
3,31.275,0
3,7.8542,0
2,16,1
3,29.125,0
2,13,1
3,18,0
3,7.225,1
2,26,0
2,13,1
3,8.0292,1
1,35.5,1
3,21.075,0
3,31.3875,1
3,7.225,0
1,263,0
3,7.8792,1
3,7.8958,0
1,27.7208,0
1,146.5208,1
3,7.75,1
2,10.5,0
1,82.1708,0
1,52,0
3,7.2292,1
3,8.05,0
3,18,0
3,11.2417,1
3,9.475,0
2,21,0
3,7.8958,0
2,41.5792,1
3,7.8792,1
3,8.05,0
3,15.5,0
3,7.75,1
3,21.6792,0
3,17.8,0
3,39.6875,0
3,7.8,0
1,76.7292,1
2,26,1
1,61.9792,0
1,35.5,1
2,10.5,1
3,7.2292,0
2,27.75,1
3,46.9,0
3,7.2292,0
1,80,1
1,83.475,0
3,27.9,0
1,27.7208,0
3,15.2458,1
2,10.5,1
3,8.1583,0
3,7.925,1
3,8.6625,0
2,10.5,0
3,46.9,0
2,73.5,0
3,14.4542,0
3,56.4958,1
3,7.65,0
3,7.8958,0
3,8.05,0
2,29,1
3,12.475,1
3,9,0
3,9.5,1
3,7.7875,1
1,47.1,0
2,10.5,1
3,15.85,1
3,34.375,0
3,8.05,0
1,263,1
3,8.05,0
3,8.05,0
3,7.8542,0
1,61.175,0
3,20.575,0
3,7.25,0
3,8.05,0
1,34.6542,0
1,63.3583,1
2,23,1
2,26,0
3,7.8958,0
3,7.8958,0
1,77.2875,0
3,8.6542,0
3,7.925,0
3,7.8958,0
3,7.65,1
3,7.775,1
3,7.8958,0
3,24.15,1
1,52,0
3,14.4542,0
3,8.05,0
3,9.825,0
3,14.4583,0
3,7.925,0
3,7.75,0
2,21,0
1,247.5208,0
3,31.275,0
2,73.5,0
3,8.05,0
2,30.0708,0
2,13,1
1,77.2875,0
3,11.2417,1
3,7.75,0
3,7.1417,1
3,22.3583,1
3,6.975,0
3,7.8958,0
3,7.05,0
3,14.5,0
2,26,1
2,13,0
2,15.0458,0
1,26.2833,1
1,53.1,0
3,9.2167,0
1,79.2,0
3,15.2458,0
3,7.75,1
3,15.85,1
3,6.75,0
2,11.5,0
2,36.75,0
3,7.7958,1
3,34.375,0
2,26,0
2,13,0
2,12.525,0
1,66.6,1
3,8.05,0
3,14.5,0
3,7.3125,0
1,61.3792,0
3,7.7333,1
3,8.05,0
3,8.6625,0
3,69.55,0
3,16.1,0
2,15.75,1
3,7.775,0
3,8.6625,0
3,39.6875,0
3,20.525,1
1,55,1
3,27.9,0
1,25.925,0
3,56.4958,0
1,33.5,0
3,29.125,0
3,11.1333,1
3,7.925,0
1,30.6958,0
3,7.8542,0
3,25.4667,0
1,28.7125,0
2,13,0
3,0,0
3,69.55,0
2,15.05,0
3,31.3875,0
2,39,1
3,22.025,1
1,50,0
3,15.5,1
1,26.55,1
3,15.5,0
3,7.8958,0
2,13,1
2,13,0
3,7.8542,1
2,26,1
1,27.7208,1
1,146.5208,1
3,7.75,0
3,8.4042,0
3,7.75,1
2,13,0
3,9.5,0
3,69.55,0
3,6.4958,0
3,7.225,0
3,8.05,1
3,10.4625,0
3,15.85,0
3,18.7875,1
3,7.75,1
1,31,1
3,7.05,0
2,21,1
3,7.25,0
2,13,0
3,7.75,0
1,113.275,1
3,7.925,1
2,27,0
1,76.2917,1
2,10.5,0
3,8.05,1
2,13,0
